,Data_Frame_Name,No_Trade,Winning_Ratio,Profit_Average,Loss_Average,Payoff_Ratio,Profit_Factor,MDD,MDD(portfolio),Max_Holding_Period,Mean_Holding_Period,Max_Profit,Max_Profit_Return,Max_Loss,Max_Loss_Return,Max_Cum_Profit,Max_Cum_Profit_Return,Max_Cum_Loss,Max_Cum_Loss_Return,Last_Cumulative,Last_Cumulative_Return,Max_Portfolio_Profit,Max_Portfolio_Profit_Return,Max_Portfolio_Loss,Max_Portfolio_Loss_Return
52,US500_Fusion_soft_5day_xgb,48,0.6041666666666666,114.58933013793103,-160.3826840526316,0.714474450997011,1.09051363573228,-27.09043080940058,-30.318736588934826,85,16.111486486486488,407.97998000000007,9.486891720883063,-796.9401850000004,-24.77064739986307,1055.2805139999991,32.39192971609829,-818.8498549999999,-25.1346695019115,265.5695769999997,8.151681907127443,1065.4904749999996,32.70532538173276,-925.8898939999999,-28.420273068070422
53,US500_Fusion_hard_5day_lgb,58,0.603448275862069,100.14658911428572,-106.07348621739129,0.9441246129031834,1.436711367461366,-18.932745321928568,-25.996118104963895,55,13.54251700680272,452.429932,13.83594714907887,-532.300049,-15.909594904214186,1630.4304269999989,50.04620771228618,-602.1596680000002,-18.48334484050286,1075.2204650000003,33.003988294614295,1656.2004469999988,50.837220779947586,-823.2998050000001,-25.271261114973502
54,US500_Fusion_hard_5day_SVM,40,0.575,109.78692895652168,-129.50768311764708,0.8477252184087741,1.1469223543177531,-24.558529518935522,-33.924960006097216,82,21.59514170040486,285.60009800000034,8.83794927846951,-800.080078,-24.55852951893553,877.0405269999992,26.92083738102057,-800.080078,-24.558529518935526,301.6286649999984,9.258518836860198,895.0903319999998,27.474877759093253,-1020.4501959999998,-31.322809991363815
55,US500_Fusion_hard_5day_xgb,56,0.5535714285714286,107.27227206451614,-105.91444327999996,1.0128200530774314,1.2558968658160148,-19.42711045186991,-25.55939678644583,50,12.938671209540034,452.429932,14.713148209456772,-501.51001,-14.708066621993892,1495.5598200000004,45.90634237339917,-563.3999010000002,-17.293610327432575,687.3593810000016,21.098557647633104,1521.3298400000003,46.69735544106058,-806.6398920000001,-24.75988359609295
56,KS11_LSTM_1day_5,23,0.5652173913043478,61.467651384615415,-92.49095470000002,0.6645801374198098,0.8639541786457526,-14.638243184830701,-25.519592652143697,27,7.606217616580311,106.93994100000008,5.046693526473718,-214.73999099999992,-11.253123968273629,238.74975600000016,11.267042386458579,-218.9000259999998,-10.330296929555317,-33.2800299999999,-1.5705461438570503,243.31958000000031,11.482700829714359,-454.79003999999986,-21.46238280393965
57,KS11_LSTM_1day_20,16,0.5,141.82623287500002,-101.69250512499997,1.3946576761057057,1.3946576761057057,-12.02969300045763,-17.53219213495284,63,17.98227848101266,303.790039,11.305989633109707,-196.98999099999992,-8.941229097737606,645.9797370000001,29.692845243929806,-194.52001900000005,-8.941229097737606,518.0598130000003,23.81292937445222,724.0395520000002,33.28091136087798,-213.820068,-9.828367401515795
58,KS11_LSTM_1day_60,7,0.5714285714285714,108.32250925000007,-146.91666666666666,0.7373057918321049,0.9830743891094731,-19.463197522906327,-23.614582856570788,77,34.388471177944865,307.330078,16.10516723414226,-196.930175,-6.464884356209775,356.2602529999999,18.669278941981172,-84.48974700000008,-4.4275572175053135,-31.309815999999955,-1.6407434834615258,381.80004800000006,20.007653214611633,-450.630005,-23.61458285657079
59,KS11_LSTM_1day_120,3,0.6666666666666666,410.959961,-792.6401369999999,0.5184697844792587,1.0369395689585175,0.0,-29.961482924741034,295,116.8712643678161,811.459961,50.99673114557556,-792.6401369999999,-26.168031019546383,821.919922,37.78646963103787,10.45996100000002,0.4808801783348684,821.919922,37.78646963103787,856.790039,39.389568158988176,-123.09997500000009,-5.659326830283381
60,KS11_VIT_1day_5,106,0.49056603773584906,61.84020534615383,-59.00796396296296,1.0479976124064976,1.0091828860210716,-35.79604732024811,-37.60153912573478,16,4.060948081264108,250.84008799999992,12.623439551368582,-560.8400879999999,-27.234103653003604,884.2103289999995,40.62607834943762,-723.819825,-33.25674893956848,145.03064399999903,6.663602666660727,885.9400659999997,40.70555314019855,-764.6698000000001,-35.13364884730816
61,KS11_VIT_1day_20,67,0.44776119402985076,71.68399676666665,-68.86108070270271,1.0409943619117954,0.8440494826311855,-39.71852179553983,-42.27185308560586,34,7.209964412811388,253.3798830000001,11.448989191940912,-336.65002400000003,-16.34755047752962,719.5998579999996,33.08246637294204,-555.4598380000002,-25.536388324516384,-277.01000500000055,-12.735097253703223,739.6298869999996,34.003315305129505,-843.0698230000003,-38.75880290882398
