,Date,Open,High,Low,Close,Predicted_results_5,Predicted_results_20,Predicted_results_60,Predicted_results_120,action_5,action_20,action_60,action_120
43,2021-03-08,12904.259766,13001.0,12599.230469,12609.160156,1,1,0,1,Holding,Holding,No action,Holding
44,2021-03-09,12923.070313,13151.540039,12882.490234,13073.820313,1,1,0,1,Holding,Holding,No action,Holding
45,2021-03-10,13234.730469,13277.110352,13035.44043,13068.830078,1,1,0,1,Holding,Holding,No action,Holding
46,2021-03-11,13273.30957,13433.620117,13246.330078,13398.669922,1,1,0,1,Holding,Holding,No action,Holding
47,2021-03-12,13222.80957,13324.69043,13158.719727,13319.860352,1,1,0,1,Holding,Holding,No action,Holding
48,2021-03-15,13323.469727,13460.349609,13272.5,13459.709961,1,1,0,1,Holding,Holding,No action,Holding
49,2021-03-16,13523.169922,13620.709961,13397.080078,13471.570313,1,1,0,1,Holding,Holding,No action,Holding
50,2021-03-17,13336.910156,13595.0,13272.69043,13525.200195,1,1,0,1,Holding,Holding,No action,Holding
51,2021-03-18,13349.200195,13384.459961,13101.919922,13116.169922,0,1,0,1,Holding,Holding,No action,Holding
52,2021-03-19,13119.900391,13252.370117,13039.450195,13215.240234,0,1,0,1,sell,Holding,No action,Holding
53,2021-03-22,13278.780273,13455.639648,13278.780273,13377.540039,0,1,0,1,No action,Holding,No action,Holding
54,2021-03-23,13381.429688,13405.150391,13202.429688,13227.700195,0,1,0,1,No action,Holding,No action,Holding
55,2021-03-24,13289.240234,13292.919922,12961.349609,12961.889648,0,1,0,1,No action,Holding,No action,Holding
56,2021-03-25,12844.580078,13021.860352,12786.80957,12977.679688,0,1,0,1,No action,Holding,No action,Holding
57,2021-03-26,12996.030273,13149.549805,12878.719727,13138.730469,0,0,0,1,No action,Holding,No action,Holding
58,2021-03-29,13103.969727,13143.410156,12968.160156,13059.650391,0,0,0,1,No action,sell,No action,Holding
59,2021-03-30,13008.799805,13075.75,12922.570313,13045.389648,0,0,0,1,No action,No action,No action,Holding
60,2021-03-31,13122.570313,13325.540039,13118.379883,13246.870117,0,0,0,1,No action,No action,No action,Holding
61,2021-04-01,13414.320313,13487.080078,13404.179688,13480.110352,1,0,0,1,Buy,No action,No action,Holding
62,2021-04-05,13594.900391,13720.580078,13582.759766,13705.589844,1,0,0,1,Holding,No action,No action,Holding
63,2021-04-06,13681.669922,13776.709961,13674.280273,13698.379883,1,0,0,1,Holding,No action,No action,Holding
64,2021-04-07,13675.299805,13733.030273,13653.589844,13688.839844,1,0,0,1,Holding,No action,No action,Holding
65,2021-04-08,13796.889648,13830.139648,13758.709961,13829.30957,0,0,0,1,Holding,No action,No action,Holding
66,2021-04-09,13787.019531,13905.410156,13748.349609,13900.19043,0,0,0,0,sell,No action,No action,Holding
67,2021-04-12,13854.44043,13877.0,13783.950195,13850.0,0,0,0,0,No action,No action,No action,sell
68,2021-04-13,13902.450195,14011.509766,13902.450195,13996.099609,0,0,0,0,No action,No action,No action,No action
69,2021-04-14,14004.080078,14033.629883,13839.040039,13857.839844,0,0,0,0,No action,No action,No action,No action
70,2021-04-15,13983.230469,14049.129883,13970.419922,14038.759766,0,0,0,0,No action,No action,No action,No action
71,2021-04-16,14059.110352,14062.5,13977.049805,14052.339844,0,0,0,0,No action,No action,No action,No action
72,2021-04-19,13984.580078,14041.790039,13842.570313,13914.769531,0,0,0,1,No action,No action,No action,Buy
73,2021-04-20,13894.459961,13927.669922,13698.669922,13786.269531,0,0,0,1,No action,No action,No action,Holding
74,2021-04-21,13745.769531,13951.349609,13706.860352,13950.219727,0,0,0,1,No action,No action,No action,Holding
75,2021-04-22,13952.570313,14015.870117,13771.040039,13818.410156,0,0,1,1,No action,No action,Buy,Holding
76,2021-04-23,13861.370117,14062.740234,13856.830078,14016.80957,0,0,1,1,No action,No action,Holding,Holding
77,2021-04-26,14052.379883,14154.030273,14019.5,14138.780273,0,0,1,1,No action,No action,Holding,Holding
78,2021-04-27,14170.910156,14171.240234,14064.280273,14090.219727,0,0,1,1,No action,No action,Holding,Holding
79,2021-04-28,14082.780273,14133.650391,14034.700195,14051.030273,0,0,0,1,No action,No action,Holding,Holding
80,2021-04-29,14204.509766,14211.570313,13952.799805,14082.549805,0,0,0,1,No action,No action,sell,Holding
81,2021-04-30,13970.730469,14084.759766,13941.629883,13962.679688,0,0,0,1,No action,No action,No action,Holding
82,2021-05-03,14031.769531,14042.120117,13881.509766,13895.120117,0,0,0,1,No action,No action,No action,Holding
83,2021-05-04,13774.509766,13795.570313,13485.589844,13633.5,0,0,0,1,No action,No action,No action,Holding
84,2021-05-05,13731.129883,13753.049805,13553.929688,13582.419922,0,0,0,1,No action,No action,No action,Holding
85,2021-05-06,13557.830078,13635.730469,13439.389648,13632.839844,0,0,0,1,No action,No action,No action,Holding
86,2021-05-07,13723.089844,13828.620117,13690.75,13752.240234,0,0,0,1,No action,No action,No action,Holding
87,2021-05-10,13687.589844,13687.929688,13401.740234,13401.860352,1,0,0,1,Buy,No action,No action,Holding
88,2021-05-11,13115.849609,13423.30957,13107.669922,13389.429688,1,0,1,1,Holding,No action,Buy,Holding
89,2021-05-12,13215.490234,13288.610352,13002.540039,13031.679688,1,0,1,1,Holding,No action,Holding,Holding
90,2021-05-13,13150.94043,13247.870117,13007.240234,13124.990234,1,0,1,1,Holding,No action,Holding,Holding
91,2021-05-14,13255.650391,13460.879883,13242.969727,13429.980469,1,1,1,1,Holding,Buy,Holding,Holding
92,2021-05-17,13368.799805,13399.169922,13265.400391,13379.049805,1,1,1,1,Holding,Holding,Holding,Holding
93,2021-05-18,13416.900391,13485.339844,13299.929688,13303.639648,1,1,1,1,Holding,Holding,Holding,Holding
94,2021-05-19,13078.19043,13304.610352,13072.230469,13299.740234,1,1,1,1,Holding,Holding,Holding,Holding
95,2021-05-20,13356.629883,13563.519531,13355.709961,13535.740234,1,1,1,1,Holding,Holding,Holding,Holding
96,2021-05-21,13616.19043,13616.580078,13463.259766,13470.990234,1,1,1,1,Holding,Holding,Holding,Holding
