,Date,Open,High,Low,Close,Predicted_results_20,action_20,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
107,2022-06-15,2490.01001,2495.540039,2436.040039,2447.379883,1,Buy,0.0,0.0,-542.4301769999997
108,2022-06-16,2481.659912,2500.360107,2447.330078,2451.409912,0,Holding,0.0,0.0,-542.4301769999997
109,2022-06-17,2409.719971,2441.340088,2396.469971,2440.929932,0,sell,2.5100099999999657,0.10255906806438213,-539.9201669999998
110,2022-06-20,2449.889893,2449.889893,2372.350098,2391.030029,1,Buy,0.0,0.0,-539.9201669999998
111,2022-06-21,2402.98999,2423.47998,2385.600098,2408.929932,0,Holding,0.0,0.0,-539.9201669999998
112,2022-06-22,2417.110107,2418.050049,2342.810059,2342.810059,1,Holding,0.0,0.0,-539.9201669999998
113,2022-06-23,2347.840088,2361.22998,2306.47998,2314.320068,1,Holding,0.0,0.0,-539.9201669999998
114,2022-06-24,2327.110107,2373.47998,2319.98999,2366.600098,0,Holding,0.0,0.0,-539.9201669999998
115,2022-06-27,2383.199951,2418.939941,2365.860107,2401.919922,1,Holding,0.0,0.0,-539.9201669999998
116,2022-06-28,2405.199951,2422.100098,2393.959961,2422.090088,0,Holding,0.0,0.0,-539.9201669999998
117,2022-06-29,2387.100098,2393.25,2375.449951,2377.98999,1,Holding,0.0,0.0,-539.9201669999998
118,2022-06-30,2368.570068,2368.570068,2332.590088,2332.639893,1,Holding,0.0,0.0,-539.9201669999998
119,2022-07-01,2342.919922,2354.969971,2291.48999,2305.419922,1,Holding,0.0,0.0,-539.9201669999998
120,2022-07-04,2310.72998,2318.310059,2276.629883,2300.340088,1,Holding,0.0,0.0,-539.9201669999998
121,2022-07-05,2322.110107,2344.080078,2309.620117,2341.780029,1,Holding,0.0,0.0,-539.9201669999998
122,2022-07-06,2330.110107,2332.139893,2290.330078,2292.01001,1,Holding,0.0,0.0,-539.9201669999998
123,2022-07-07,2308.969971,2344.139893,2307.899902,2334.27002,0,Holding,0.0,0.0,-539.9201669999998
124,2022-07-08,2352.48999,2367.840088,2348.73999,2350.610107,1,Holding,0.0,0.0,-539.9201669999998
125,2022-07-11,2357.429932,2363.26001,2337.820068,2340.27002,1,Holding,0.0,0.0,-539.9201669999998
126,2022-07-12,2330.879883,2333.02002,2303.73999,2317.76001,0,Holding,0.0,0.0,-539.9201669999998
127,2022-07-13,2324.449951,2341.189941,2312.48999,2328.610107,0,sell,-74.62011699999994,-3.1208356271129016,-614.5402839999997
128,2022-07-14,2316.409912,2338.290039,2307.689941,2322.320068,1,Buy,0.0,0.0,-614.5402839999997
129,2022-07-15,2335.120117,2337.300049,2293.449951,2330.97998,1,Holding,0.0,0.0,-614.5402839999997
130,2022-07-18,2350.47998,2376.5,2344.120117,2375.25,0,Holding,0.0,0.0,-614.5402839999997
131,2022-07-19,2367.52002,2372.73999,2359.590088,2370.969971,1,Holding,0.0,0.0,-614.5402839999997
132,2022-07-20,2406.290039,2410.060059,2382.649902,2386.850098,1,Holding,0.0,0.0,-614.5402839999997
133,2022-07-21,2387.909912,2411.959961,2387.909912,2409.159912,1,Holding,0.0,0.0,-614.5402839999997
134,2022-07-22,2405.370117,2417.909912,2391.47998,2393.139893,1,Holding,0.0,0.0,-614.5402839999997
135,2022-07-25,2385.649902,2412.469971,2385.649902,2403.689941,1,Holding,0.0,0.0,-614.5402839999997
136,2022-07-26,2397.27002,2415.389893,2395.169922,2412.959961,1,Holding,0.0,0.0,-614.5402839999997
137,2022-07-27,2412.52002,2415.530029,2396.189941,2415.530029,0,Holding,0.0,0.0,-614.5402839999997
138,2022-07-28,2437.570068,2443.429932,2429.070068,2435.27002,1,Holding,0.0,0.0,-614.5402839999997
139,2022-07-29,2453.530029,2463.050049,2442.01001,2451.5,1,Holding,0.0,0.0,-614.5402839999997
140,2022-08-01,2444.050049,2461.399902,2437.129883,2452.25,1,Holding,0.0,0.0,-614.5402839999997
141,2022-08-02,2451.0,2451.070068,2428.76001,2439.620117,0,Holding,0.0,0.0,-614.5402839999997
142,2022-08-03,2438.560059,2461.449951,2433.120117,2461.449951,1,Holding,0.0,0.0,-614.5402839999997
143,2022-08-04,2478.439941,2478.949951,2465.320068,2473.110107,1,Holding,0.0,0.0,-614.5402839999997
144,2022-08-05,2481.429932,2497.580078,2480.050049,2490.800049,1,Holding,0.0,0.0,-614.5402839999997
145,2022-08-08,2481.169922,2494.0,2477.76001,2493.100098,1,Holding,0.0,0.0,-614.5402839999997
146,2022-08-09,2493.570068,2506.48999,2481.360107,2503.459961,1,Holding,0.0,0.0,-614.5402839999997
147,2022-08-10,2493.699951,2494.149902,2478.209961,2480.879883,1,Holding,0.0,0.0,-614.5402839999997
148,2022-08-11,2507.73999,2523.780029,2506.409912,2523.780029,1,Holding,0.0,0.0,-614.5402839999997
149,2022-08-12,2519.659912,2533.199951,2514.310059,2527.939941,1,Holding,0.0,0.0,-614.5402839999997
150,2022-08-16,2543.050049,2546.350098,2532.199951,2533.52002,0,Holding,0.0,0.0,-614.5402839999997
151,2022-08-17,2536.570068,2543.149902,2512.01001,2516.469971,0,sell,176.97998099999995,7.620826407120379,-437.56030299999975
152,2022-08-18,2499.300049,2515.370117,2488.090088,2508.050049,1,Buy,0.0,0.0,-437.56030299999975
153,2022-08-19,2510.719971,2510.719971,2492.689941,2492.689941,1,Holding,0.0,0.0,-437.56030299999975
154,2022-08-22,2467.379883,2475.77002,2457.080078,2462.5,0,Holding,0.0,0.0,-437.56030299999975
155,2022-08-23,2449.310059,2454.550049,2431.830078,2435.340088,1,Holding,0.0,0.0,-437.56030299999975
156,2022-08-24,2446.179932,2454.01001,2430.689941,2447.449951,1,Holding,0.0,0.0,-437.56030299999975
157,2022-08-25,2459.790039,2477.26001,2455.320068,2477.26001,0,Holding,0.0,0.0,-437.56030299999975
